"","h1","h2","h3","h4"
"t=204",NA,NA,NA,1.94032465330451
"t=205",NA,NA,1.86664744542476,3.3656894893335
"t=206",NA,1.86985290461531,3.34874871841652,1.77173836063443
"t=207",2.05566699330838,3.62689705753724,1.757346553605,1.75882252805734
"t=208",2.53590522479184,1.70155049213741,1.75056170752887,1.93164561448252
"t=209",1.64043636979567,1.7946481226579,1.96499697873206,2.13243596987286
"t=210",1.58257916448279,1.87687065198048,2.08225155543427,2.09331766662043
"t=211",1.77876470617068,2.02232850922299,2.04000012109402,2.34350401462124
"t=212",1.9215630369778,1.97042706964678,2.31145416457226,2.36213928711494
"t=213",1.85659297340112,2.24612444629908,2.3283222473988,2.45725118538825
"t=214",2.12169069831184,2.25983267928319,2.43104333907147,2.53301052065453
"t=215",2.12583465404355,2.42108517629544,2.5086374255485,2.48041995574364
"t=216",2.4114232941814,2.47091284274245,2.46558907123457,2.5336653820723
"t=217",2.55113806363229,2.45391678690373,2.52720977127351,2.71530768827688
"t=218",2.40776305362404,2.45518197774536,2.68024873503504,2.55737939523879
"t=219",2.41906888512322,2.69544046803036,2.55183849650618,2.55957504897408
"t=220",2.6846604600277,2.52713863575145,2.53217883931469,2.69747094769707
"t=221",2.55132467085548,2.54920540448114,2.70440422916521,2.51196485886541
"t=222",2.45186494587678,2.71076727489273,2.51181492474941,2.75019780886784
"t=223",2.83721140656161,2.5035717307952,2.77784154403346,2.97333377689646
"t=224",2.42096628839427,2.67782096955005,2.95460983388429,2.7119031497931
"t=225",2.84349869497539,3.02689696491207,2.69238335343217,1.93384818675292
"t=226",3.22049386677767,2.73081623700424,1.94624486810482,1.90310586338409
"t=227",2.49102077573534,1.94904925716195,1.88935725198879,1.89173731270561
"t=228",1.98208696207505,1.89403479644684,1.89360159350605,1.95973028372693
"t=229",1.77930466777674,1.87254308024355,1.98153338979488,2.06656034989747
"t=230",1.79891314568385,1.99913817058896,2.07009721097046,1.58418680865958
"t=231",2.01460771621074,2.04932337286821,1.58124090786432,1.50350734802232
"t=232",2.05531652133375,1.61883293403018,1.51036619171139,1.82186813246305
"t=233",1.56946615202814,1.48951723611887,1.80466419420639,2.30985056076778
"t=234",1.44612906269101,1.80353074118012,2.31967616519745,1.88358465552973
"t=235",1.73552109021838,2.28053947160891,1.87055994741471,1.57193715163147
"t=236",2.2142828371066,1.84997500398198,1.56075245140007,1.65968517793723
"t=237",1.50637342710875,1.47757006732392,1.60426514272783,2.13905603603416
"t=238",1.26041122896684,1.51146776005142,2.12889059623991,1.41138939627461
"t=239",1.32175877335093,2.07200765439952,1.41066246618354,1.04113635623407
"t=240",1.86941308259964,1.39470621323559,1.04429924018922,1.31621225997812
"t=241",1.22049725594486,1.05412956794431,1.31680352635675,0.850442620242234
"t=242",1.0681766255181,1.31165065644744,0.85260019246842,1.03837768230274
"t=243",1.2921214716951,0.8512431883625,1.04236203159795,0.81910148067348
"t=244",0.829305613252695,1.03722512459959,0.820132479360569,1.08610618816729
"t=245",1.10375144237844,0.824856020650581,1.08696140599246,0.800475065948385
"t=246",0.832909421270137,1.08103075657672,0.800903090879415,0.958983287945472
"t=247",1.07967814083589,0.799233448611491,0.960458600050528,1.60978982086839
"t=248",0.809179677629694,0.957345292462214,1.60159662522014,1.33637640158332
"t=249",0.962860074033344,1.59915829786924,1.33979186958552,1.25865793238279
"t=250",1.59041602478701,1.33016764235366,1.2631453627908,1.60938550209612
"t=251",1.28355299334635,1.27396103360559,1.60174962002153,1.48443082309685
"t=252",1.29870885497192,1.60715512061182,1.48132501383287,1.03896300249612
"t=253",1.56561798376409,1.47933117541304,1.04010272704512,1.58943178560877
"t=254",1.48248131224165,1.05057466548473,1.58950851176113,1.12610349274049
"t=255",1.10464801113349,1.59094537328229,1.13011446929478,1.37732159315076
"t=256",1.54022363846179,1.09962546554886,1.36552770941537,1.29523021406889
"t=257",1.14468090342441,1.37358537913242,1.29375311560188,1.2956483058024
"t=258",1.27537288800754,1.25928150874229,1.28200324538669,1.6586081832298
"t=259",1.14494651813952,1.26234331851691,1.65675268560192,1.62135518258993
"t=260",1.23828604356078,1.64124861612138,1.60740088957617,3.0451027770012
"t=261",1.60354062379911,1.58979591803313,3.11290404609883,2.10706327256915
"t=262",1.48048423598514,3.17380946771761,2.09783654444169,2.19832120278099
