"","h1","h2","h3","h4"
"t=204",NA,NA,NA,1.90201271061807
"t=205",NA,NA,1.63511577427521,2.75036563867687
"t=206",NA,1.66605416583019,2.75942899776039,1.70431301104671
"t=207",1.73361081655754,3.20934560515385,1.68254120498992,1.67842389038663
"t=208",2.46663621903449,1.53436180771892,1.65648311939899,1.85946973281478
"t=209",1.53127478468312,1.76611633088954,1.97372222187639,2.18844906749392
"t=210",1.60496542525675,1.84977318120487,2.0874650249272,2.07379347701037
"t=211",1.785839705973,1.96840695399415,1.97312471011899,2.30924838788595
"t=212",1.90048973859565,1.86807120455627,2.24042444823136,2.29186866182412
"t=213",1.79176322787214,2.14890618288277,2.23046162033625,2.39349600551863
"t=214",2.06105155383137,2.15959785019685,2.41286695030651,2.41613369150406
"t=215",2.04777393706728,2.4296464821649,2.38475515677538,2.4409273527606
"t=216",2.46145300213211,2.36096333996465,2.44652740576739,2.45545050488762
"t=217",2.46968475998166,2.41313831435054,2.45213288871045,2.69219483124032
"t=218",2.3816231435105,2.40434006445341,2.63245321285932,2.52720348380398
"t=219",2.36828708572097,2.64116192251394,2.50802443091814,2.52091197749323
"t=220",2.65935237839958,2.51253610599606,2.53462265704622,2.66115135103497
"t=221",2.52500648775883,2.54214704605019,2.6262815741819,2.42173329800162
"t=222",2.46480550204108,2.67423013657118,2.44154185924593,2.72665920946037
"t=223",2.79535760485361,2.45775344723805,2.83674377822501,3.05920482812992
"t=224",2.39457119800905,2.6658443618129,3.05506577998223,2.68939430520803
"t=225",2.72202127099016,3.12779978810495,2.6868129833626,1.91179212203746
"t=226",3.30945906496176,2.79333043961262,1.94246548276681,1.92025755038181
"t=227",2.5258648759499,1.91613041419239,1.8413483269784,1.8532624775306
"t=228",1.94039824546442,1.8545597056631,1.88161258332508,1.98249552272246
"t=229",1.78879468244773,1.85736552503081,2.01527400855955,2.11020441472778
"t=230",1.80215948851025,2.06224680270115,2.11693552584093,1.53800621554943
"t=231",2.08070153495453,2.10512728387748,1.54121915876467,1.51196615488102
"t=232",2.06937292567048,1.62541996422249,1.54500164951673,1.88491090115824
"t=233",1.58904850252289,1.50561055516821,1.82650790832241,2.32830997190215
"t=234",1.46893967820535,1.80878581858431,2.31438230172256,1.8722641310572
"t=235",1.75442432657711,2.30323739182067,1.85843625062212,1.57501557434833
"t=236",2.24269441887594,1.84379956626858,1.57069868415194,1.67073056549369
"t=237",1.55858546851489,1.39776481490651,1.4748690730189,2.06614265392748
"t=238",1.25289137788282,1.35280959698079,1.97897509943762,1.37073599270814
"t=239",1.25034488757889,1.91399355008653,1.35605391474709,1.05308877590874
"t=240",1.81676551893627,1.35548991942709,1.07836838292897,1.29644477413728
"t=241",1.24142494144797,1.10765133804729,1.28905609052892,0.873302030407464
"t=242",1.11958157475356,1.2848190310346,0.892091830991122,1.01034057053972
"t=243",1.26569298207194,0.885847038111455,1.03402882363034,0.816795564510277
"t=244",0.85451649287643,1.03707618927724,0.817806293732696,1.07594291702852
"t=245",1.0839323700776,0.828341635009546,1.08744169720095,0.810521724856512
"t=246",0.83483538731818,1.07287360748053,0.804704662318189,0.962065841980718
"t=247",1.06988199049203,0.801984100901549,0.962336895387815,1.59310438191301
"t=248",0.808129410034908,0.951868419172154,1.55549064548495,1.31597524337135
"t=249",0.959491756120602,1.54185457009002,1.31891234456549,1.27342918156733
"t=250",1.53903771520247,1.28487649785502,1.28972114198461,1.61250876006393
"t=251",1.2611547414059,1.33951769650071,1.58273601967349,1.45720257296536
"t=252",1.36943372238568,1.60585309513132,1.47999839522572,1.0620403229074
"t=253",1.53935228321539,1.46023322611246,1.06348781955243,1.57952679100585
"t=254",1.46273599843897,1.08772227749804,1.59041761200244,1.15646514718725
"t=255",1.12956396158418,1.59881741988634,1.17365065879716,1.39569740312781
"t=256",1.53475327887268,1.10295896113285,1.34955374187718,1.25496346551665
"t=257",1.12814819225478,1.36023897826643,1.25387745293989,1.24547564020208
"t=258",1.28094221754267,1.18307580192466,1.20049638252179,1.61714042460013
"t=259",1.07028381903898,1.1571616592962,1.61622524517259,1.52749751198035
"t=260",1.17429758434159,1.62101774520806,1.5154124201689,3.33043206224311
"t=261",1.59994357279778,1.48932357945376,3.2050650560312,2.02034706338203
"t=262",1.40587544435151,3.22488632902015,2.00326931058188,2.12876194481938
"t=263",4.10075609108129,1.91320681120458,2.04939422574014,2.14555564391631
"t=264",1.96339796006521,2.02356239702133,2.24520475844841,2.52637215326569
"t=265",1.89146641563228,2.11422177859134,2.47151887848501,2.70340737665951
"t=266",2.03655739881884,2.41062449958318,2.66982065900504,2.45539314946614
"t=267",2.42637664831187,2.74632474053288,2.49866987838347,2.28038339322059
"t=268",2.60597611581138,2.53727067697037,2.31321418326902,2.42912646338553
"t=269",2.57364281473036,2.31707427628842,2.40529203036836,2.85731236631261
"t=270",2.23984191798459,2.34453493556135,2.90299248167347,2.5494821477891
"t=271",2.23105932940124,2.90625259841728,2.47982934908179,2.96320408464707
"t=272",2.9232145264078,2.42345620969401,2.99512289029215,2.49079403241462
"t=273",2.55171779487615,3.11596899506786,2.48079556264475,2.43382419782757
"t=274",2.99503459502287,2.42800215173199,2.46100470069515,2.46675410202771
"t=275",2.41955654635757,2.62940415219338,2.49623242535944,3.64163837298098
"t=276",2.57605654808052,2.46559949444456,3.76229485738834,2.26837202182441
"t=277",2.46155884232375,3.63683513258287,2.20378342814769,2.44291918575698
