"","h1","h2","h3","h4"
"t=204",NA,NA,NA,1.91985804085244
"t=205",NA,NA,1.67710719975189,2.94746951823337
"t=206",NA,1.72140369305886,2.98892815842362,1.73690649260369
"t=207",1.99306887873653,3.6345830376706,1.7217625630144,1.71158365882703
"t=208",2.59187020768145,1.56069746943582,1.68273710266076,1.88786975343781
"t=209",1.55770153227672,1.80760570004616,1.98838757978983,2.18519952872986
"t=210",1.63790297820648,1.85548023951996,2.08064074769789,2.08206209378123
"t=211",1.80698369564795,1.99133647759118,1.97602163574291,2.32359572112561
"t=212",1.8675302848166,1.86162724615044,2.24418744350568,2.30440036825226
"t=213",1.78356348254376,2.15385122131678,2.25417634030887,2.41794368858256
"t=214",2.06300894540462,2.18009979854171,2.414384618164,2.45227356127783
"t=215",2.06336777877701,2.41921132806031,2.4176306090213,2.44412276601821
"t=216",2.44453715122414,2.3892941369274,2.44428365614506,2.47978589968007
"t=217",2.4871462823419,2.41854097831424,2.47858984906285,2.69703533662063
"t=218",2.37347296271205,2.41425052949513,2.64364424933351,2.53784497669483
"t=219",2.37586885383726,2.65403386976646,2.51991668336533,2.53490315576239
"t=220",2.67625208493296,2.51342841235473,2.53773517039987,2.67089602702511
"t=221",2.53289624521331,2.54293415250974,2.6381470832876,2.45178108176012
"t=222",2.46494734349819,2.69530787213455,2.47221161271059,2.74805895603586
"t=223",2.82681509406046,2.48657482297727,2.83768967239504,3.03055325268758
"t=224",2.3929065986608,2.683162875541,3.13622760690316,2.70383880267459
"t=225",2.71621241734165,3.19265235697833,2.69428892927424,1.90601977037604
"t=226",3.29534326928629,2.79228560117988,1.93593924372963,1.92097775757598
"t=227",2.5490320819829,1.90766184031796,1.83694035600304,1.84646638579589
"t=228",1.92433130961769,1.84650279409915,1.88324662747815,1.98503583631686
"t=229",1.80188136524179,1.86863406076714,2.01905469065319,2.10952008649385
"t=230",1.82743860028079,2.06000213320977,2.1255458308953,1.52614286031302
"t=231",2.07408234354935,2.11847434006013,1.52687968045513,1.51068909338466
"t=232",2.08164916492521,1.60641509185537,1.55171955245488,1.89588193519835
"t=233",1.62159704250937,1.49548634005019,1.81092515399705,2.32576319731046
"t=234",1.48459561881784,1.81079760234811,2.3325010604376,1.87872244021188
"t=235",1.740632578998,2.29414371237906,1.86694035937596,1.59037047474038
"t=236",2.23209397488708,1.85968110887003,1.57870013050747,1.68946699035513
"t=237",1.551210339035,1.37700217769441,1.51311630112644,2.11553943630925
"t=238",1.23320592129745,1.34884632655305,2.03116033505007,1.39693491096922
"t=239",1.24604720685429,1.94649769092948,1.38096416162281,1.04757516250146
"t=240",1.83353668314666,1.37206663173903,1.06527400381715,1.31193565631558
"t=241",1.24177247105538,1.10352001344338,1.29524935910686,0.859307021312333
"t=242",1.11620603812417,1.288389725698,0.872394381832795,1.03251194623352
"t=243",1.27318215926897,0.86930715200238,1.05270436896878,0.817053319816761
"t=244",0.838207066813593,1.05419261178763,0.818020143297634,1.07367799884042
"t=245",1.10118403437416,0.830003245653418,1.0871695224646,0.804998411683705
"t=246",0.839000126049264,1.06781645603857,0.800689956858518,0.95347377635667
"t=247",1.06370313958736,0.798344195136624,0.955296305376872,1.60117322811987
"t=248",0.805936178971937,0.945501309224545,1.57054627042743,1.31989683565863
"t=249",0.953799894253323,1.55468426435691,1.32320313102049,1.26980246990411
"t=250",1.55442812022656,1.28297199133097,1.2815897876331,1.61338215728714
"t=251",1.2567633568927,1.33725923996848,1.58725990704497,1.46751075013428
"t=252",1.36668254519606,1.6197446793398,1.48529697724022,1.04997808664454
"t=253",1.55747621522431,1.47025556493823,1.04666737305357,1.57776575071302
"t=254",1.46884440967623,1.07563631545303,1.58440738392452,1.14369170998141
"t=255",1.12001863241048,1.59728977948531,1.15825938725308,1.38981597133464
"t=256",1.53250661198614,1.07643748983979,1.35175603706303,1.26656888346405
"t=257",1.10587064714973,1.36302919122619,1.26302476528562,1.26674017680151
"t=258",1.28545623874276,1.19373421744886,1.22802494601351,1.63371368984703
"t=259",1.08250296460358,1.17907545982591,1.62699827932251,1.54879580675724
"t=260",1.18654107646227,1.62772074774549,1.53780444486096,3.14287081630095
