"","h1","h2","h3","h4"
"t=204",NA,NA,NA,1.9259454931254
"t=205",NA,NA,1.67618270039309,2.82759147602196
"t=206",NA,1.69778487339421,3.00748846510636,1.73172013851366
"t=207",1.85159058040219,3.29448997530543,1.71516025607808,1.70068900362465
"t=208",2.55182430146795,1.56053115645473,1.68088050292778,1.88110377425999
"t=209",1.5590772107042,1.80557097196338,1.98344603439767,2.18108279999226
"t=210",1.62623166354246,1.8515415301949,2.07515875210695,2.07476223149
"t=211",1.76560147471629,1.9422342284252,1.96867431441619,2.31284618043396
"t=212",1.8741950596141,1.8602259691049,2.24418284127498,2.30760725805309
"t=213",1.78427684144163,2.15533638579531,2.24882004557422,2.42280230558838
"t=214",2.06412661621194,2.17830430179906,2.4113516538384,2.44937391170989
"t=215",2.06050859050578,2.42101184767532,2.40750512292923,2.44862819343655
"t=216",2.44591090712735,2.38755613375801,2.44598935749072,2.47244471724022
"t=217",2.48914641990437,2.41589222893391,2.47294298405305,2.69542032967204
"t=218",2.37525545233735,2.41769058678889,2.64202689776352,2.53797896727684
"t=219",2.37482970710423,2.64955815009888,2.51666426522733,2.53439453594671
"t=220",2.67514900132143,2.5166340446496,2.53446394739346,2.6681095284807
"t=221",2.53213844343561,2.54086840869222,2.64652158777109,2.44452413880328
"t=222",2.46297628389882,2.69544436859604,2.47022618156791,2.75108274873982
"t=223",2.82760602677889,2.48012374667215,2.84047848808341,3.02874174489562
"t=224",2.41014369135241,2.64993471188747,3.00305711504075,2.67754538012079
"t=225",2.70157290446727,3.06944495325304,2.6748332901877,1.92756698484452
"t=226",3.27040236606491,2.79308240886575,1.95188115705905,1.90986222175577
"t=227",2.5392494300403,1.93413175683186,1.84690228768053,1.87093960518186
"t=228",1.96410212955197,1.86741686314888,1.90120818292535,1.96358134517914
"t=229",1.78671782962049,1.86572093508575,1.99840362911184,2.10556585309041
"t=230",1.80028209822664,2.05883005741088,2.11186534571083,1.56427813248227
"t=231",2.07690825531528,2.09493325106558,1.5642172742623,1.50991242805399
"t=232",2.05811079615135,1.66665058813077,1.53948867883045,1.86276633369639
"t=233",1.61452470624207,1.49510572369983,1.81263596734131,2.33554130838901
"t=234",1.45676772747298,1.79666907046186,2.31704311717314,1.89242822518226
"t=235",1.74116887203846,2.29964720379922,1.86879650579522,1.58150947226947
"t=236",2.23135288909589,1.8517181666951,1.57394351175777,1.68829323633661
"t=237",1.54511427010499,1.38650582372631,1.50038430146454,2.10952960992215
"t=238",1.23298782072113,1.36041839587509,2.02565713101403,1.39590617012638
"t=239",1.24838113295341,1.9417532209866,1.37999306049307,1.04744974578458
"t=240",1.8312528318541,1.37388466743601,1.06648916790811,1.30929060719951
"t=241",1.23768276608568,1.10037990166942,1.29697850717403,0.862975091802336
"t=242",1.11406515676644,1.28928904530051,0.874091211411457,1.02912982978757
"t=243",1.27195848089664,0.871481589856041,1.04695598795644,0.815779122531466
"t=244",0.839189217448416,1.04701478639908,0.817871540747233,1.07343201540243
"t=245",1.10075012082179,0.829104055127719,1.08481177327216,0.803993617813691
"t=246",0.83799264771003,1.0681702727478,0.800665620304241,0.955443660340185
"t=247",1.06468328493077,0.798766533708063,0.956213653850194,1.59616027163709
"t=248",0.806764296682574,0.948164529147211,1.56925854029786,1.31754349207171
"t=249",0.955547818681529,1.55626270126056,1.3224198567684,1.27212631953109
"t=250",1.55460833628217,1.28478301888039,1.2805701521227,1.61910329146585
"t=251",1.25892692528392,1.33371761109159,1.59057630328321,1.46535641570982
"t=252",1.3634863244132,1.61475294254366,1.48464993625586,1.05027444825217
"t=253",1.55356304482017,1.46739774792834,1.0509064951827,1.57942099127395
"t=254",1.46786377891517,1.07888718801693,1.58496067743466,1.14284834114307
"t=255",1.12106096749449,1.59833731064183,1.1583540174312,1.39093925867114
"t=256",1.53004919201611,1.08430781013064,1.35241740524627,1.26448919661872
"t=257",1.11330590849628,1.36308315461247,1.26616511708689,1.26568164090397
"t=258",1.28196999517357,1.19505065237314,1.22457038456699,1.63051514999008
"t=259",1.08085031587253,1.1803882784043,1.62422381827731,1.55097926821922
"t=260",1.18707317035373,1.62669095818144,1.53325491186802,3.21785016172681
"t=261",1.60282054574246,1.50171926588811,3.14531532415851,2.0518833762925
"t=262",1.4153035115254,3.30409179970639,2.0340965801208,2.1554279490448
"t=263",4.0628036388465,1.93437537846869,2.07984480735033,2.16873302413418
"t=264",2.00194041350474,2.07494082069138,2.27467997679757,2.55513762825614
"t=265",1.92052282159745,2.11859866151947,2.49529294160764,2.73942115442733
"t=266",2.0329061262397,2.42591690420144,2.69826878065357,2.46428510798274
"t=267",2.43770163884542,2.77476402232972,2.50002319921811,2.31086676419825
"t=268",2.62492517948838,2.54976051728398,2.33521928045196,2.46684385340279
"t=269",2.56877264207971,2.34205941966903,2.42870451838204,2.92034616210844
"t=270",2.24833328014815,2.35946600370347,2.97202363193702,2.57178670430832
"t=271",2.23586540825216,2.96649018803435,2.4935362794167,2.9696834774378
"t=272",2.98133861013887,2.43805139999636,2.97524580026001,2.50702976805427
"t=273",2.57877406005848,3.11769836514948,2.50701675661823,2.46222831274018
"t=274",2.97982903941988,2.43807493717733,2.48771210222786,2.49185801034889
"t=275",2.45446465848299,2.69807468341752,2.51225384256663,3.59710474738417
"t=276",2.61337181162366,2.47919389429643,3.6727102542208,2.25030293279671
"t=277",2.47112573843102,3.56821426826065,2.1854848836493,2.44064831865477
"t=278",3.66504502891096,2.2023302163298,2.3631870583424,2.13101078396072
"t=279",2.20581733102258,2.31666488214526,2.08683847318813,1.63120669527503
"t=280",2.43388425096804,2.11023019877969,1.5917090773554,1.59286384406719
"t=281",2.02070835062647,1.61065805745771,1.60309153051061,1.44067584979416
"t=282",1.62554616209537,1.6112767329306,1.45373181984067,1.72835629003448
"t=283",1.59477592168155,1.43656950266964,1.73570336097673,1.01263053745802
"t=284",1.38624083313493,1.76089499675121,0.994818418761622,1.24131041133696
"t=285",1.83499102218864,0.980384777158542,1.24805645151323,0.886930780041
"t=286",1.02017684195009,1.24934809134741,0.912665698263439,1.03055296247642
"t=287",1.25705130861888,0.884895831914781,1.02754918289606,1.11202187274846
"t=288",0.861072203735837,0.981329371450818,1.10904902609958,1.00925872007356
"t=289",0.979014719660308,1.12089025339504,1.00306614542811,0.66632541812788
"t=290",1.17005709662103,0.975517744902747,0.671479453736814,0.981696550987297
"t=291",1.01829547053947,0.671721596869953,0.984591743230376,1.31172825896553
"t=292",0.671143397487584,0.974164353281765,1.30250369746746,1.23896931952881
"t=293",0.981411673857691,1.33215214477726,1.24542329132184,1.16472480544081
"t=294",1.32464540815636,1.23533727821711,1.15919585669584,0.930044008612737
"t=295",1.19177147178546,1.1464711593212,0.925820662080397,1.4608612579986
"t=296",1.08447009666415,0.931963997876882,1.45016010020396,0.695572116550699
"t=297",0.950549813106834,1.45699148935474,0.691524148919798,1.0636980306372
"t=298",1.45208011594294,0.69575967964134,1.06390727277589,1.04087764900874
"t=299",0.733914187944932,1.06335174910721,1.06102623261381,0.879227473208688
"t=300",1.08524697994925,1.06897759721143,0.879735073755149,1.09089858682906
"t=301",1.04405093731596,0.849336627442352,1.09093019803094,1.13997099721204
"t=302",0.868603276553295,1.07644640293012,1.13873024398134,0.981215526129198
"t=303",1.05310688591532,1.11776664462616,0.966476629661286,0.889132352228158
"t=304",1.05724035645928,0.933936079195831,0.890199441060812,0.998696187130474
"t=305",0.909259076502598,0.867443324977253,0.992280151681313,1.08126486335563
"t=306",0.83510473161787,0.953199947131053,1.06272114657302,1.32269951115865
"t=307",0.922670407934519,1.03110466149756,1.30039361189401,1.27200825041628
"t=308",1.00144941940222,1.30007043968688,1.26209692198114,1.12977488186466
"t=309",1.2723850762673,1.24333560248118,1.10608034581143,1.1726136009573
"t=310",1.21599917521068,1.11384360244352,1.14663792602834,1.43660755947978
"t=311",1.104535213914,1.12972674978524,1.39743014265943,1.61651330616958
"t=312",1.09497524743517,1.38264954986537,1.5929779594958,1.86020947032025
"t=313",1.41093805847652,1.60982005517636,1.85984705570509,1.92239220981518
"t=314",1.49216525381752,1.78379516700079,1.86518547566734,2.11364325393254
"t=315",1.81814504519042,1.85770279643554,2.12257203134407,2.13749545606347
"t=316",1.7471628005254,2.15713598111467,2.11118033302797,2.77594614025784
"t=317",2.18678719744841,2.07997321011537,2.74483241146386,2.96882837859431
"t=318",2.09679907921766,2.73074281383003,2.91264728491966,3.10057664526223
"t=319",2.71378176285128,2.9402423389082,3.11045423691046,3.26196493141446
"t=320",2.91560350680017,3.17193715272114,3.39118539795586,3.2375558910968
"t=321",2.97537317786149,3.20947638776033,3.08447369644145,3.20825704612176
"t=322",3.43181747200837,3.07254519528489,3.14036457830049,3.56386968061208
"t=323",3.03601480086764,3.18115873077428,3.49394741595039,2.70453405159478
"t=324",3.19904888169729,3.52195072210962,2.69436372263802,2.84741247148609
"t=325",3.64215031505238,2.7552176388441,2.85759578313336,3.25780722267048
"t=326",2.81015719392913,2.82026199847038,3.07748695752075,3.2484701583191
"t=327",2.80178686256099,3.15416229918821,3.38794439525927,3.39857459151807
"t=328",3.29278271287467,3.51934655477582,3.57870178038588,4.6450493874602
"t=329",3.15148373571857,3.26491628169421,4.16188674375646,3.67878581732978
"t=330",3.12934478936969,3.92460945116925,3.4718211384824,2.30478797938679
"t=331",3.96091240741524,3.5701616547714,2.32455250912031,1.92988625687505
"t=332",3.43767251687746,2.52537683958814,1.9630815364111,2.48789417979736
"t=333",2.66302528037841,2.08173833007275,2.56699805245147,1.49982627407487
"t=334",2.00521874549024,2.72610527309956,1.47522740036223,1.3249782869789
