"","h1","h2","h3","h4"
"t=204",NA,NA,NA,1.90572705352048
"t=205",NA,NA,1.70810215793604,2.64253402831899
"t=206",NA,1.75402764016948,2.85452333050585,1.64790799167633
"t=207",1.96113740211482,3.31583794539229,1.61860018340983,1.66412499380217
"t=208",2.41882352189298,1.53915371273228,1.65581272792796,1.845567111495
"t=209",1.53875290773423,1.74499475082583,1.90038451315137,2.15882953812738
"t=210",1.57013557837596,1.78670839510285,2.08541716965388,2.07822598354124
"t=211",1.73036575527917,1.98942138000701,2.01919276443664,2.32940504848619
"t=212",1.95647420893829,1.94747748192132,2.27920895873712,2.30370142040274
"t=213",1.8661525975167,2.19810586985439,2.26320203779686,2.37222474881067
"t=214",2.096128012426,2.18565488609261,2.38405568091342,2.41356121503799
"t=215",2.04774344957937,2.40058766771153,2.39213633426359,2.43828317606535
"t=216",2.43414626801811,2.3643028761383,2.44392575500049,2.44428940764452
"t=217",2.48097658792129,2.40534919149989,2.44191223518928,2.68435688169529
"t=218",2.38483159490932,2.41134057150661,2.63812981228804,2.52863549284445
"t=219",2.37238597222046,2.64644829397315,2.52013212934273,2.51835941224648
"t=220",2.67683667418523,2.52102867974177,2.52770381392813,2.64388802275707
"t=221",2.53140465160678,2.5286164192093,2.62299563384408,2.41879572049391
"t=222",2.45307423197952,2.68672806162135,2.42999534207904,2.72455807169178
"t=223",2.8248952037878,2.44375007003951,2.76480536553068,3.08307747237774
"t=224",2.37266256733691,2.62094921012241,3.11559034086161,2.71225321140217
"t=225",2.70307116654712,3.16649159508405,2.70817657313089,1.90166943016341
"t=226",3.36933117836851,2.81828102551837,1.91343165997183,1.92692505793791
"t=227",2.52070064047255,1.88445391790907,1.87721951132841,1.82930029346616
"t=228",1.91795304887861,1.87722697176316,1.83241755511658,2.00284665817756
"t=229",1.80530538330395,1.81571433208865,2.02411177595155,2.10609737564595
"t=230",1.78051890708311,2.05913605310383,2.10872271038295,1.51996292773993
"t=231",2.08084770515395,2.09667846528771,1.52394541394118,1.50876880065469
"t=232",2.0746305225175,1.58980571578173,1.52795362982943,1.89949222091673
"t=233",1.55698524539912,1.49285294906051,1.86075837489198,2.33400982833501
"t=234",1.45909330990146,1.84569359396345,2.33189025102808,1.85858920514422
"t=235",1.784320547397,2.30763811614411,1.85282512090432,1.56218943507105
"t=236",2.24477799843634,1.8362136671407,1.55688677081877,1.66402115497596
"t=237",1.55744574267005,1.41578538634931,1.54531170143634,2.03779551869307
"t=238",1.26181377886324,1.42196054012967,1.98186131441835,1.35507437624417
"t=239",1.29434844441975,1.92460891691398,1.34690528773352,1.06385917272041
"t=240",1.8219741219324,1.34828450311183,1.07620236271174,1.28626641819536
"t=241",1.2386714554225,1.10039548874926,1.28422641188965,0.88467034458225
"t=242",1.10990878507244,1.27967475545254,0.895437931755119,0.988944383092159
"t=243",1.26149499762597,0.891263126048649,1.0003754115678,0.820653788481494
"t=244",0.860160567319767,1.00847475975778,0.821537511762989,1.08039146389058
"t=245",1.04948188755984,0.828104856596739,1.08858843394682,0.816058490517159
"t=246",0.833886262526211,1.07480897835053,0.814031226785244,0.962444661441634
"t=247",1.07296721709766,0.812210365571618,0.963839132884651,1.58232509057331
"t=248",0.815905732720059,0.953070442737834,1.56348264857236,1.31422292815906
"t=249",0.961070154967049,1.54868904369629,1.31865906431991,1.27174405656346
"t=250",1.54271855492777,1.28859519569133,1.28638566943981,1.60760850578123
"t=251",1.26389570014756,1.3230353857982,1.58121072452201,1.45290160355307
"t=252",1.35741531140852,1.61048378288108,1.4735524044037,1.07373941523359
"t=253",1.54306868157896,1.44998999594591,1.07488248197464,1.57801392843198
"t=254",1.45382159034941,1.09645972614799,1.58662289467107,1.16696945349992
"t=255",1.1382183852666,1.59658034062312,1.17576520134986,1.397289074124
"t=256",1.52486095407372,1.11389760335179,1.36413298393299,1.26437298674159
"t=257",1.14245640681559,1.37016790784423,1.2606065804031,1.24672929804019
"t=258",1.28739423397394,1.20521865527083,1.2187992623721,1.61215465120384
"t=259",1.08376061647908,1.17120215994955,1.60605873400188,1.52705982556107
"t=260",1.17893685324047,1.60823496234308,1.5164971328614,3.28051950879087
"t=261",1.58494135713585,1.48446327039892,3.16930226446698,1.99365422122887
"t=262",1.40194262854641,3.35297052745356,1.98642142129098,2.12153066342559
"t=263",4.15035762702721,1.90302946000792,2.05358875351563,2.14103955628401
"t=264",1.95067210884026,2.00483437534502,2.21311320298577,2.51960683615696
"t=265",1.87581864537085,2.08704315812207,2.46549785964219,2.68795858366873
"t=266",2.01440333822798,2.42107576394743,2.66201628792157,2.43759093741856
"t=267",2.43832251893557,2.72604081170634,2.48043914220814,2.26059504794338
"t=268",2.58938039213252,2.52796555389058,2.28933729223779,2.40478930134819
"t=269",2.5622115421477,2.28980684085825,2.39154010638433,2.83532391459793
"t=270",2.21100568287975,2.33501594599119,2.85055716100826,2.54902245590605
"t=271",2.23013537200683,2.84781855838235,2.48764799848703,2.94526896731829
"t=272",2.83620985237372,2.42963901217601,2.96540557337771,2.4774085378435
"t=273",2.56101260922592,3.11027914241631,2.46449094841235,2.42334147016061
"t=274",2.96601891292226,2.43104999345667,2.4524034556624,2.46471888478485
"t=275",2.44273034672235,2.58060332523265,2.47635518981208,3.68426498000932
"t=276",2.51189602293664,2.46131864642276,3.67106585633952,2.28977731239616
"t=277",2.45751497975015,3.64419527240887,2.234820704821,2.4519418213084
"t=278",3.81127503703564,2.2488618203211,2.39140018803249,2.08100196902639
"t=279",2.20806925416645,2.32736187165976,2.04266440692956,1.60944713374187
"t=280",2.47957847559779,2.06396774158796,1.58265725141284,1.67233257972056
"t=281",1.9912359374021,1.60985731004502,1.68748369139982,1.45936676797053
"t=282",1.62073944361081,1.69731219732729,1.46749493077093,1.76797653095227
"t=283",1.67472314725135,1.45093519395205,1.7700806109176,1.0073517013981
"t=284",1.39584127514835,1.78360775886808,0.992032357776467,1.25772619587866
"t=285",1.8437862123401,0.980638354954904,1.27098266584665,0.86614172379717
