"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.094411409554
"t=205",NA,NA,2.0618967911572,4.10467088793554
"t=206",NA,2.06102484692942,4.10141764574235,1.69601627952558
"t=207",2.05641947295285,4.09169026087079,1.69457977361038,1.77122474819324
"t=208",3.99798829823888,1.68055504254579,1.76658286074309,2.00122032752641
"t=209",1.64409386514824,1.75501888335499,1.99384257789194,2.10080240767008
"t=210",1.75331875497339,1.99299951212871,2.09931366515649,2.17323843471781
"t=211",1.992436609161,2.09799573228839,2.17250930579259,2.18986856332404
"t=212",2.0965532260588,2.17026535366267,2.1888400938072,2.35638954287895
"t=213",2.16843946887322,2.18693850662503,2.35546557058762,2.45998201646968
"t=214",2.18519573861458,2.35510162268758,2.46237254212318,2.57174406750494
"t=215",2.35312866513211,2.46241295124093,2.57102738576833,2.60071854968324
"t=216",2.46186429652168,2.57034538520651,2.60051487988622,2.61430339867099
"t=217",2.57239133015491,2.59903371614701,2.61459751227657,2.70296571673678
"t=218",2.59979728466012,2.61400894205116,2.70225862746882,2.64684357386433
"t=219",2.61455837458746,2.700782184159,2.64624013970737,2.63556275743378
"t=220",2.7009267107769,2.64641273607726,2.63678438676844,2.77304856965873
"t=221",2.64557139845967,2.63609151537177,2.77280622194524,2.53292462134114
"t=222",2.63490284061077,2.77341060588721,2.53278951616844,2.80233256358464
"t=223",2.77532546050839,2.53257171188985,2.80483190181976,2.91499859143459
"t=224",2.53214992603673,2.80098365551274,2.91320862000612,2.62284492194767
"t=225",2.80068455926824,2.91335670585444,2.62227228547037,1.9209195658922
"t=226",2.91671250597614,2.62611528991575,1.92109910757034,1.91378568773871
"t=227",2.61916902942588,1.91783071198155,1.90862338021816,1.9254207010037
"t=228",1.9167192432921,1.90696004792088,1.92588017848142,1.93598136343458
"t=229",1.90452964600881,1.92449352392098,1.93661409671265,2.15331553518839
"t=230",1.92194327116643,1.93785301937194,2.15248223513251,1.60475050722389
"t=231",1.93781505678522,2.15060363838497,1.60347032503711,1.49716880924312
